"name";"lat";"lon";"kanton"
"Zwischbergen";46.16366;8.11575;"VS"
"Zwingen";47.43825;7.53027;"BL"
"Zweisimmen";46.55539;7.37302;"BE"
"Zweilütschinen";46.63184;7.90135;"BE"
"Zuzwil";47.47452;9.11196;"SG"
"Zuzgen";47.52508;7.89986;"AG"
"Bad Zurzach";47.58764;8.29365;"AG"
"Zürich";47.36667;8.55;"ZH"
"Zürchersmühle";47.33019;9.29362;"AR"
"Zuoz";46.60206;9.95965;"GR"
"Zunzgen";47.44925;7.80789;"BL"
"Zumikon";47.33158;8.62271;"ZH"
"Zumholz";46.75462;7.29146;"FR"
"Zumdorf";46.61151;8.53714;"UR"
"Zullwil";47.39108;7.60047;"SO"
"Zug";47.17242;8.51745;"ZG"
"Zuckenriet";47.48508;9.16157;"SG"
"Zuchwil";47.20173;7.56649;"SO"
"Zollikon";47.34019;8.57407;"ZH"
"Zollikofen";46.99905;7.45809;"BE"
"Zollbrück";46.97446;7.74376;"BE"
"Zofingen";47.28779;7.94586;"AG"
"Zizers";46.93575;9.56491;"GR"
"Zinal";46.13426;7.62868;"VS"
"Zimmerwald";46.88091;7.47713;"BE"
"Zillis";46.6341;9.4423;"GR"
"Zihlschlacht";47.52065;9.25736;"TG"
"Ziegelbrücke";47.1324;9.06029;"GL"
"Zervreila-Unterboden";46.58333;9.11667;"GR"
"Zervreila-Oberboden";46.56667;9.1;"GR"
"Zervreila";46.57703;9.12198;"GR"
"Zernez";46.69862;10.09268;"GR"
"Zermatt";46.01998;7.74863;"VS"
"Zeneggen";46.27341;7.86535;"VS"
"Zell";47.44607;8.82176;"ZH"
"Zell";47.13673;7.92495;"LU"
"Zelg";46.42947;7.46947;"BE"
"Zeihen";47.47633;8.08506;"AG"
"Zeglingen";47.41723;7.90616;"BL"
"Zäziwil";46.90196;7.66185;"BE"
"Yvorne";46.33122;6.95872;"VD"
"Yvonand";46.80034;6.74249;"VD"
"Yverdon-les-Bains";46.77852;6.64115;"VD"
"Yens";46.51901;6.4185;"VD"
"Wyssachen";47.07851;7.82922;"BE"
"Wynigen";47.10586;7.66681;"BE"
"Wynau";47.2557;7.81626;"BE"
"Würenlos";47.44205;8.36261;"AG"
"Würenlingen";47.53356;8.25666;"AG"
"Wuppenau";47.49633;9.10904;"TG"
"Wünnewil";46.874;7.27734;"FR"
"Worblaufen";46.97967;7.45809;"BE"
"Worben";47.10279;7.29518;"BE"
"Worb";46.92984;7.56306;"BE"
"Wollerau";47.19478;8.71903;"SZ"
"Wolhusen";47.05983;8.07389;"LU"
"Wolfwil";47.26871;7.79652;"SO"
"Wölflinswil";47.4607;7.99835;"AG"
"Wolfgang";46.83344;9.8537;"GR"
"Wolfenschiessen";46.90322;8.39423;"NW"
"Wohlen";47.35066;8.27517;"AG"
"Wohlen";46.97118;7.35685;"BE"
"Wity";46.74914;9.83446;"GR"
"Wittnau";47.48139;7.97577;"AG"
"Wittenbach";47.46108;9.38601;"SG"
"Winterthur";47.50564;8.72413;"ZH"
"Winklen";46.60203;7.65195;"BE"
"Winkel";47.01285;8.31654;"LU"
"Winikon";47.236;8.04827;"LU"
"Windlach";47.54091;8.47376;"ZH"
"Windisch";47.47899;8.21842;"AG"
"Wimmis";46.67587;7.63972;"BE"
"Willisau";47.12183;7.99418;"LU"
"Willigen";46.71935;8.18977;"BE"
